['2021', '05', '16', '16', '37', '52']#T18.4L56.0
['2021', '05', '16', '16', '47', '52']#T18.4L56.0
['2021', '05', '16', '16', '57', '52']#T17.6L57.0
['2021', '05', '16', '17', '07', '52']#T17.6L57.0
['2021', '05', '16', '17', '17', '52']#T17.7L57.0
['2021', '05', '16', '17', '27', '52']#T17.7L57.0
['2021', '05', '16', '17', '37', '52']#T17.8L58.0
['2021', '05', '16', '17', '47', '52']#T17.8L58.0
['2021', '05', '16', '17', '57', '52']#T17.5L57.0
['2021', '05', '16', '18', '07', '52']#T17.5L57.0
['2021', '05', '16', '18', '17', '53']#T17.2L59.0
['2021', '05', '16', '18', '27', '53']#T17.2L59.0
['2021', '05', '16', '18', '37', '53']#T16.7L61.0
['2021', '05', '16', '18', '47', '53']#T16.7L61.0
['2021', '05', '16', '18', '57', '53']#T16.8L62.0
['2021', '05', '16', '19', '07', '53']#T16.8L62.0
['2021', '05', '16', '19', '17', '53']#T16.3L63.0
['2021', '05', '16', '19', '27', '53']#T16.3L63.0
['2021', '05', '16', '19', '37', '53']#T16.0L65.0
['2021', '05', '16', '19', '47', '53']#T16.0L65.0
['2021', '05', '16', '19', '57', '53']#T15.6L65.0
['2021', '05', '16', '20', '07', '53']#T15.6L65.0
['2021', '05', '16', '20', '17', '53']#T15.2L66.0
['2021', '05', '16', '20', '27', '53']#T15.2L66.0
['2021', '05', '16', '20', '37', '53']#T14.7L69.0
['2021', '05', '16', '20', '47', '53']#T14.7L69.0
['2021', '05', '16', '20', '57', '53']#T14.2L73.0
['2021', '05', '16', '21', '07', '53']#T14.2L73.0
['2021', '05', '16', '21', '10', '25']#T13.1L76.0
['2021', '05', '16', '21', '20', '25']#T13.1L76.0
['2021', '05', '16', '21', '30', '25']#T13.1L77.0
['2021', '05', '16', '21', '40', '25']#T13.1L77.0
['2021', '05', '16', '21', '50', '25']#T13.0L76.0
['2021', '05', '16', '22', '00', '25']#T13.0L76.0
['2021', '05', '16', '22', '10', '25']#T12.8L76.0
['2021', '05', '16', '22', '20', '25']#T12.8L76.0
['2021', '05', '16', '22', '30', '25']#T12.2L78.0
['2021', '05', '16', '22', '40', '25']#T12.2L78.0
['2021', '05', '16', '22', '50', '25']#T11.8L78.0
['2021', '05', '16', '23', '00', '25']#T11.8L78.0
['2021', '05', '16', '23', '10', '25']#T11.8L78.0
['2021', '05', '16', '23', '20', '25']#T11.8L78.0
['2021', '05', '16', '23', '30', '26']#T11.3L79.0
['2021', '05', '16', '23', '40', '26']#T11.3L79.0
['2021', '05', '16', '23', '50', '26']#T11.0L80.0
['2021', '05', '17', '00', '00', '26']#T11.0L80.0
['2021', '05', '17', '00', '10', '26']#T11.0L80.0
['2021', '05', '17', '00', '20', '26']#T11.0L80.0
['2021', '05', '17', '00', '30', '26']#T11.0L80.0
['2021', '05', '17', '00', '40', '26']#T11.0L80.0
['2021', '05', '17', '00', '50', '26']#T11.3L79.0
['2021', '05', '17', '01', '00', '26']#T11.3L79.0
['2021', '05', '17', '01', '10', '26']#T11.1L79.0
['2021', '05', '17', '01', '20', '26']#T11.1L79.0
['2021', '05', '17', '01', '30', '26']#T10.7L79.0
['2021', '05', '17', '01', '40', '26']#T10.7L79.0
['2021', '05', '17', '01', '50', '26']#T10.6L80.0
['2021', '05', '17', '02', '00', '26']#T10.6L80.0
['2021', '05', '17', '02', '10', '26']#T10.8L79.0
['2021', '05', '17', '02', '20', '26']#T10.8L79.0
['2021', '05', '17', '02', '30', '26']#T10.4L80.0
['2021', '05', '17', '02', '40', '26']#T10.4L80.0
['2021', '05', '17', '02', '50', '26']#T10.0L81.0
['2021', '05', '17', '03', '00', '26']#T10.0L81.0
['2021', '05', '17', '03', '10', '26']#T10.0L81.0
['2021', '05', '17', '03', '20', '26']#T10.0L81.0
['2021', '05', '17', '03', '30', '26']#T10.3L81.0
['2021', '05', '17', '03', '40', '26']#T10.3L81.0
['2021', '05', '17', '03', '50', '26']#T10.4L81.0
['2021', '05', '17', '04', '00', '26']#T10.4L81.0
['2021', '05', '17', '04', '10', '27']#T10.6L80.0
['2021', '05', '17', '04', '20', '27']#T10.6L80.0
['2021', '05', '17', '04', '30', '27']#T11.0L80.0
['2021', '05', '17', '04', '40', '27']#T11.0L80.0
['2021', '05', '17', '04', '50', '27']#T11.0L80.0
['2021', '05', '17', '05', '00', '27']#T11.0L80.0
['2021', '05', '17', '05', '10', '27']#T11.1L79.0
['2021', '05', '17', '05', '20', '27']#T11.1L79.0
['2021', '05', '17', '05', '30', '27']#T11.0L80.0
['2021', '05', '17', '05', '40', '27']#T11.0L80.0
['2021', '05', '17', '05', '50', '27']#T11.0L80.0
['2021', '05', '17', '06', '00', '27']#T11.0L80.0
['2021', '05', '17', '06', '10', '27']#T10.4L82.0
['2021', '05', '17', '06', '20', '27']#T10.4L82.0
['2021', '05', '17', '06', '30', '27']#T10.4L84.00001
['2021', '05', '17', '06', '40', '27']#T10.4L84.00001
['2021', '05', '17', '06', '50', '27']#T10.4L85.0
['2021', '05', '17', '07', '00', '27']#T10.4L85.0
['2021', '05', '17', '07', '10', '27']#T10.6L85.0
['2021', '05', '17', '07', '20', '27']#T10.6L85.0
['2021', '05', '17', '07', '30', '27']#T10.8L85.0
['2021', '05', '17', '07', '40', '27']#T10.8L85.0
['2021', '05', '17', '07', '50', '28']#T11.9L84.00001
['2021', '05', '17', '08', '00', '28']#T11.9L84.00001
['2021', '05', '17', '08', '10', '28']#T12.0L86.0
['2021', '05', '17', '08', '20', '28']#T12.0L86.0
['2021', '05', '17', '08', '30', '28']#T12.6L85.0
['2021', '05', '17', '08', '40', '28']#T12.6L85.0
['2021', '05', '17', '08', '50', '28']#T12.8L84.00001
['2021', '05', '17', '09', '00', '28']#T12.8L84.00001
['2021', '05', '17', '09', '10', '28']#T13.1L84.00001
['2021', '05', '17', '09', '20', '28']#T13.1L84.00001
['2021', '05', '17', '09', '30', '28']#T13.3L82.0
['2021', '05', '17', '09', '40', '28']#T13.3L82.0
['2021', '05', '17', '09', '50', '28']#T13.5L81.0
['2021', '05', '17', '10', '00', '28']#T13.5L81.0
['2021', '05', '17', '10', '10', '28']#T13.7L80.0
['2021', '05', '17', '10', '20', '28']#T13.7L80.0
['2021', '05', '17', '10', '30', '28']#T13.8L78.0
