['2021', '06', '27', '09', '17', '12']#beat#

['2021', '06', '27', '09', '18', '12']#beat#

['2021', '06', '27', '09', '20', '12']#et

['2021', '06', '27', '09', '27', '57']#beat

['2021', '06', '27', '09', '28', '57']#beat

['2021', '06', '27', '09', '29', '57']#beat

['2021', '06', '27', '09', '30', '57']#beat

['2021', '06', '27', '09', '31', '57']#beat

['2021', '06', '27', '09', '32', '57']#beat

['2021', '06', '27', '09', '33', '57']#beat

['2021', '06', '27', '09', '34', '57']#beat

['2021', '06', '27', '09', '35', '57']#beat

['2021', '06', '27', '09', '36', '57']#beat

['2021', '06', '27', '09', '37', '57']#beat
['2021', '06', '27', '09', '38', '57']#beat
['2021', '06', '27', '09', '39', '57']#beat
['2021', '06', '27', '09', '40', '57']#beat
['2021', '06', '27', '09', '41', '57']#beat
['2021', '06', '27', '09', '42', '57']#beat
['2021', '06', '27', '09', '43', '57']#beat
['2021', '06', '27', '09', '44', '57']#beat
['2021', '06', '27', '09', '45', '57']#beat
['2021', '06', '27', '09', '46', '57']#beat
['2021', '06', '27', '09', '47', '57']#beat
['2021', '06', '27', '09', '48', '57']#beat
['2021', '06', '27', '09', '49', '57']#beat
['2021', '06', '27', '09', '50', '57']#beat
['2021', '06', '27', '09', '51', '57']#beat
['2021', '06', '27', '09', '52', '57']#beat
['2021', '06', '27', '09', '53', '57']#beat
['2021', '06', '27', '09', '54', '57']#beat
