['2021', '06', '25', '16', '50', '36']#beat
['2021', '06', '25', '16', '50', '40']#beat
['2021', '06', '25', '16', '50', '44']#beat
['2021', '06', '25', '16', '50', '48']#beat
['2021', '06', '25', '16', '50', '52']#beat
['2021', '06', '25', '16', '50', '56']#beat
['2021', '06', '25', '16', '51', '00']#beat
['2021', '06', '25', '16', '52', '03']#beat
['2021', '06', '25', '16', '52', '07']#beat
['2021', '06', '25', '16', '52', '11']#beat
['2021', '06', '25', '17', '06', '13']#beat
['2021', '06', '25', '17', '06', '17']#beat
['2021', '06', '25', '17', '06', '21']#beat
['2021', '06', '25', '17', '06', '25']#beat
['2021', '06', '25', '17', '06', '33']#beat
['2021', '06', '25', '17', '06', '37']#beat
['2021', '06', '25', '17', '06', '41']#beat
['2021', '06', '25', '17', '06', '45']#beat
['2021', '06', '25', '17', '06', '49']#beat
['2021', '06', '25', '17', '06', '53']#beat
['2021', '06', '25', '17', '06', '57']#beat
['2021', '06', '25', '17', '07', '01']#beat
['2021', '06', '25', '17', '07', '05']#beat
['2021', '06', '25', '17', '07', '09']#beat
['2021', '06', '25', '17', '07', '13']#beat
['2021', '06', '25', '17', '07', '17']#beat
['2021', '06', '25', '17', '07', '21']#beat
['2021', '06', '25', '17', '07', '25']#beat
['2021', '06', '25', '17', '07', '29']#beat
['2021', '06', '25', '17', '07', '33']#beat
['2021', '06', '25', '17', '07', '37']#beat
['2021', '06', '25', '17', '07', '41']#beat
['2021', '06', '25', '17', '07', '45']#beat
['2021', '06', '25', '17', '07', '53']#beat
['2021', '06', '25', '17', '07', '57']#beat
['2021', '06', '25', '17', '08', '01']#beat
['2021', '06', '25', '17', '08', '05']#beat
['2021', '06', '25', '17', '08', '09']#beat
['2021', '06', '25', '17', '08', '13']#beat
['2021', '06', '25', '17', '08', '17']#beat
['2021', '06', '25', '17', '08', '21']#beat
['2021', '06', '25', '17', '08', '25']#beat
['2021', '06', '25', '17', '08', '29']#beat
['2021', '06', '25', '17', '08', '33']#beat
['2021', '06', '25', '17', '08', '37']#beat
['2021', '06', '25', '17', '08', '41']#beat
['2021', '06', '25', '17', '08', '45']#beat
['2021', '06', '25', '17', '08', '49']#beat
['2021', '06', '25', '17', '40', '47']#beat
['2021', '06', '25', '17', '40', '51']#beat
['2021', '06', '25', '17', '40', '55']#beat
['2021', '06', '25', '17', '41', '07']#beat
['2021', '06', '25', '17', '41', '11']#beat
['2021', '06', '25', '17', '41', '15']#beat
['2021', '06', '25', '17', '41', '19']#beat
['2021', '06', '25', '17', '41', '23']#beat
['2021', '06', '25', '17', '41', '27']#beat
['2021', '06', '25', '17', '41', '31']#beat
['2021', '06', '26', '11', '31', '31']#beat
['2021', '06', '26', '11', '31', '35']#beat
['2021', '06', '26', '11', '31', '39']#beat
['2021', '06', '26', '11', '31', '43']#beat
['2021', '06', '26', '11', '31', '47']#beat
['2021', '06', '26', '11', '31', '51']#beat
['2021', '06', '26', '11', '31', '55']#beat
['2021', '06', '26', '11', '31', '59']#beat
['2021', '06', '26', '11', '33', '59']#beat
['2021', '06', '26', '11', '34', '03']#beat
['2021', '06', '26', '11', '34', '07']#beat
['2021', '06', '26', '11', '34', '11']#beat
['2021', '06', '26', '11', '34', '15']#beat
['2021', '06', '26', '11', '34', '19']#beat
['2021', '06', '26', '11', '34', '23']#beat
['2021', '06', '26', '11', '34', '27']#beat
['2021', '06', '26', '11', '34', '31']#beat
['2021', '06', '26', '11', '34', '35']#beat
['2021', '06', '26', '11', '34', '39']#beat
['2021', '06', '26', '11', '34', '43']#beat
['2021', '06', '26', '11', '34', '47']#beat
['2021', '06', '26', '11', '34', '51']#beat
['2021', '06', '26', '11', '34', '55']#beat
['2021', '06', '26', '11', '34', '59']#beat
['2021', '06', '26', '11', '35', '03']#beat
['2021', '06', '26', '11', '35', '07']#beat
['2021', '06', '26', '11', '35', '11']#beat
['2021', '06', '26', '11', '35', '15']#beat
['2021', '06', '26', '11', '35', '19']#beat
['2021', '06', '26', '11', '35', '29']#beat
['2021', '06', '26', '11', '35', '33']#beat
['2021', '06', '26', '11', '35', '37']#beat
['2021', '06', '26', '11', '35', '41']#beat
['2021', '06', '26', '11', '35', '45']#beat
['2021', '06', '26', '11', '35', '49']#beat
['2021', '06', '26', '11', '35', '53']#beat
['2021', '06', '26', '11', '35', '57']#beat
['2021', '06', '26', '11', '36', '01']#beat
['2021', '06', '26', '11', '36', '05']#beat
['2021', '06', '26', '11', '36', '09']#beat
['2021', '06', '26', '11', '36', '13']#beat
['2021', '06', '26', '11', '36', '17']#beat
['2021', '06', '26', '11', '36', '21']#beat
['2021', '06', '26', '11', '36', '25']#beat
['2021', '06', '26', '11', '36', '29']#beat
['2021', '06', '26', '11', '36', '33']#beat
['2021', '06', '26', '11', '36', '37']#beat
['2021', '06', '26', '11', '36', '41']#beat
['2021', '06', '26', '11', '36', '45']#beat
['2021', '06', '26', '11', '36', '49']#beat
['2021', '06', '26', '11', '36', '53']#beat
['2021', '06', '26', '11', '36', '57']#beat
['2021', '06', '26', '11', '37', '01']#beat
['2021', '06', '26', '11', '37', '05']#beat
['2021', '06', '26', '11', '37', '09']#beat
['2021', '06', '26', '11', '37', '13']#beat
['2021', '06', '26', '11', '37', '30']#beat
['2021', '06', '26', '11', '37', '34']#beat
['2021', '06', '26', '11', '45', '02']#beat
['2021', '06', '26', '11', '45', '06']#beat
['2021', '06', '26', '11', '45', '10']#beat
